date,name,value,icon
0107,"Carolina Falkholt",1,
0108,"Ana Malhoa",1,
0109,"Carlos Santos Silva",1,
0109,"José Sócrates",1,https://upload.wikimedia.org/wikipedia/commons/7/78/Josesocrates09082006.jpg
0110,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0110,"Fábio Paim",1,
0111,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0111,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0111,"Christian Whiteley-Mason",1,
0112,"Kate Middleton",1,
0113,"Festival da Eurovisão",1,
0113,"Conchita Wurst",1,
0113,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0113,"Nuno Markl",1,
0113,"Salvador Sobral",1,
0113,"Diogo Piçarra",1,
0113,"Maria Vieira",1,
0114,"Emmanuel Macron",1,
0114,"Donald Trump",1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/TrumpPortrait.jpg/1024px-TrumpPortrait.jpg
0114,"António Costa",1,
0115,"Gelados Super Maxi",1,
0116,"Marcelo Rebelo de Sousa",1,https://upload.wikimedia.org/wikipedia/commons/6/61/Marcelo_Rebelo_de_Sousa_em_2018.jpg
0116,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0116,"Porquinha Pepa",1,
0117,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0117,"Dolores Aveiro",1,
0118,"Kanye West",1,
0118,Romana,1,
0118,"Sindicato Independente dos Médicos",1,
0118,"José Miguel Júdice",1,
0118,"Iker Casillas",1,
0118,"Catarina Furtado",1,
0118,Isaura,1,
0119,"O tipo do Imobiliário",1,
0119,"Jorge Ferreira",1,
0120,"Daniela Ruah",1,
0120,"Filomena Cautela",1,
0120,"Catarina Furtado",1,
0120,"Silvia Alberto",1,
0120,"Festival da Eurovisão",1,
0120,Toy,1,
0120,"Nuno Galopim",1,
0120,"Helder Reis",1,
0121,"Catarina Furtado",1,
0121,"Herman José",1,
0121,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0121,"Festival da Eurovisão",1,
0122,"Célia Lawson",1,
0122,Isaura,1,
0122,Netta,1,
0122,"Festival da Eurovisão",1,
0123,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0123,"Judite Sousa",1,
0123,"Oceano Cruz",1,
0123,"Luciana Abreu",1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png/330px-Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png
0123,Ágata,1,
0124,"José Cid",1,https://upload.wikimedia.org/wikipedia/commons/e/e3/Eurovision_Song_Contest_1980_postcards_-_Jos%C3%A9_Cid_08.png
0125,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0125,"Diane Carson",1,
0125,"Quintino Aires",1,
0126,"Luciana Abreu",1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png/330px-Luciana_Abreu_%28J%C3%BAlia%2C_2024%29.png
0126,"Nuno Lopes",1,
0126,"Fernando Rocha (Marido de Maria Vieira)",1,
0126,H&M,1,
0126,"Yanny ou Laurel",1,
0127,"Octávio Machado",1,
0127,"Manuel Ribeiro",1,
0127,"Eduardo Barroso",1,
0128,"Globos de Ouro",1,
0128,"Sofia Cerveira",1,
0128,"Ricardo Pereira",1,
0128,"Raquel Strada",1,
0128,"João Baião",1,
0128,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0128,"Bárbara Guimarães",1,
0128,"Bárbara Bandeira",1,
0129,"Bárbara Sofia Holanda Bandeira",1,
0129,"Rui Bandeira",1,
0130,"Academia de Alcochete",1,
0130,"Maria João Mata",1,
0130,"Nuno Loureiro Coelho",1,
0130,"Causídico de Alfama",1,
0130,"Bruno de Carvalho",1,https://upload.wikimedia.org/wikipedia/commons/4/49/Web_Summit_2017_-_SportsTrade_CG1_6831_%2838211885052%29_cropped.jpg
0131,"Dom Duarte Nuno de Bragança",1,
0132,"Mind da gap",1,
0132,"Museu das Descobertas",1,
0132,"Museu do Queijo",1,
0132,"Museu da Batafrita",1,
0132,Éder,1,
0133,"Jovem António",1,
0133,"Federação Portuguesa Pela Vida",1,
0133,"José Maria Seabra Vieira Duque",1,
0133,"Joana Marques",1,https://upload.wikimedia.org/wikipedia/commons/5/55/Joana_Marques_na_R%C3%A1dio_Renascen%C3%A7a%2C_Lisboa%2C_Jan.2024_%2853489065110%29_%28cropped%29.jpg
0133,"Grupos contra a eutanásia",1,
0134,"Jovens contra a eutanásia",1,
0135,"Cristiano Ronaldo",1,https://ichef.bbci.co.uk/ace/standard/2560/cpsprodpb/7bcb/live/0154c130-e3a7-11ef-8450-ff58a15d40df.jpg
0135,"José Rodrigues dos Santos",1,
0135,"José Milhazes",1,
0135,"Dolores Aveiro",1,
0136,"Senhora da Ribeira",1,
0136,"Turistas Chineses",1,
0137,"Isabel Moreira",1,
0137,"Macário Correia",1,
0137,"Paula Neves",1,
0137,"Campanhas conta o tabaco",1,
0138,"Elsa Judas",1,
0138,"Ricardo Quaresma",1,
0138,"Conceição Queiroz",1,
0139,"Alunos do secundário",1,
0140,"Robot Lola",1,
0141,"Germán Herrera",1,
0142,"Sandra Martins",1,
0142,"Academia de Alcochete",1,
0143,"Sr. Antunes",1,
0143,"Visitantes da Expo 98",1,
0144,"Ana Markl",1,https://ffms.pt/sites/default/files/styles/autor_profile/public/2022-08/Ana%20Markl.png.webp
0144,Sardinhas,1,
0144,"Pessoas no Santos Populares",1,
0145,"Robbie Williams",1,
0145,"Donald Trump",1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/TrumpPortrait.jpg/1024px-TrumpPortrait.jpg
0145,"Robot Lola",1,
0145,Ronaldo,1,
0145,"O gato Achiles",1,
0146,"Sportinguista doente",1,
